wl,flower_Chorizema cordatum_orange_1,flower_Chorizema cordatum_orange_2,flower_Chorizema cordatum_orange_3,flower_Olearia homolepis_1,flower_Olearia homolepis_2,flower_Olearia homolepis_3,flower_Chamelaucium uncinatum_1,flower_Chamelaucium uncinatum_2,flower_Chamelaucium uncinatum_3,flower_Senna artemisioides_1,flower_Senna artemisioides_2,flower_Senna artemisioides_3,flower_Eremophila maculata_1,flower_Eremophila maculata_2,flower_Eremophila maculata_3,flower_Leptospermum liversidgei_1,flower_Leptospermum liversidgei_2,flower_Leptospermum liversidgei_3,leaves_Gastrolobium bilobus_1,leaves_Gastrolobium bilobus_2,leaves_Gastrolobium bilobus_3
550,16.04527778,15.84606481,15.79527778,27.11472222,28.87550926,28.34472222,51.85,38.33,39.99763889,67.52425926,59.89425926,61.0750463,6.04,6.11,6.09,50.35921296,53.97921296,53.45842593,18.15842593,18.32921296,18.63842593
555,16.67944444,16.52944444,16.48453704,26.57037037,28.36037037,27.82037037,51.85981481,38.42472222,40.56435185,69.63342593,61.87851852,63.14851852,6.07,6.114907407,6.094907407,50.76453704,54.35453704,53.94453704,18.10527778,18.32018519,18.59018519
560,17.47535963,17.38612529,17.35612529,26.22770302,28.03846868,27.50923434,52.15382831,38.79229698,41.51689095,71.27918794,63.4899536,64.74918794,6.140765661,6.180765661,6.170765661,51.30382831,54.85382831,54.57459397,17.61464037,17.85540603,18.05464037
565,18.51469767,18.48469767,18.48469767,25.9964186,27.8364186,27.3332093,52.65716279,39.28074419,42.79827907,72.77148837,64.93469767,66.16469767,6.333581395,6.293581395,6.296790698,51.85074419,55.35074419,55.21074419,16.74888372,17.01567442,17.11888372
570,19.95454756,20.0075174,20.0275174,26.00296984,27.87593968,27.34593968,53.4637587,40.0437587,44.54048724,74.22266821,66.25266821,67.53266821,6.615939675,6.518909513,6.505939675,52.37484919,55.80484919,55.78484919,15.55733179,15.90030162,15.90733179
575,21.92601399,22.07601399,22.09601399,26.2779021,28.1679021,27.6572028,54.60300699,41.02300699,46.66601399,75.2951049,67.2951049,68.5551049,7.125804196,6.926503497,6.897202797,52.8872028,56.2772028,56.4158042,14.38629371,14.81629371,14.69629371
580,24.63671329,24.91251748,24.89671329,26.96062937,28.89643357,28.33223776,56.02125874,42.34965035,49.2234965,76.12902098,68.13902098,69.41062937,7.986433566,7.636433566,7.596433566,53.43321678,56.74321678,57.04902098,13.48517483,13.95517483,13.77937063
585,28.12095794,28.52586449,28.46586449,28.08189252,30.08189252,29.49189252,57.77679907,43.95679907,52.25378505,76.89981308,68.87981308,70.18226636,9.336799065,8.809439252,8.749439252,53.88981308,57.13981308,57.55735981,12.82773364,13.35018692,13.09773364
590,32.44102804,32.93102804,32.80175234,29.65913551,31.65913551,31.08913551,59.70768692,45.80768692,55.50899533,77.58565421,69.48565421,70.81565421,11.37551402,10.67551402,10.64551402,54.3478271,57.5271028,58.06565421,12.3521729,12.9121729,12.6221729
595,37.52763466,38.06763466,37.86763466,31.64505855,33.70880562,33.10255269,61.72880562,47.84255269,58.84133489,78.18751756,70.14751756,71.43751756,14.13882904,13.31882904,13.34882904,54.74250585,57.88250585,58.52875878,12.05749415,12.63124122,12.32749415
600,43.15978923,43.77978923,43.36299766,33.93131148,36.04131148,35.36791569,63.72112412,49.84772834,62.04489461,78.71697892,70.66697892,71.97358314,17.68206089,16.85545667,16.97545667,55.03018735,58.10679157,58.87018735,11.82981265,12.40981265,12.06981265
605,49.13661972,49.71661972,49.10450704,36.38549296,38.53549296,37.78478873,65.51056338,51.75056338,64.91619718,79.14140845,71.09140845,72.3528169,21.85746479,21.13746479,21.37887324,55.34140845,58.36070423,59.21211268,11.5071831,12.10788732,11.7471831
610,55.28578824,55.85397647,54.99578824,38.87195294,41.05195294,40.24195294,67.14644706,53.52282353,67.49376471,79.40275294,71.37275294,72.68456471,26.73028235,26.21484706,26.59303529,55.65275294,58.60637647,59.55275294,10.99905882,11.67724706,11.29543529
615,61.56457547,61.95292453,60.86544811,41.46233491,43.70398585,42.74650943,68.9015566,55.3215566,69.97650943,79.93912736,71.96495283,73.26495283,32.34544811,32.00709906,32.54875,56.18495283,59.09912736,60.13495283,10.53669811,11.27834906,10.85669811
620,67.6034434,67.7734434,66.50981132,43.92900943,46.21900943,45.19537736,70.52632075,57.04358491,72.21448113,80.67816038,72.75179245,74.01816038,38.3079717,38.11886792,38.77886792,56.89816038,59.8345283,60.96816038,10.23910377,11.01273585,10.57273585
625,72.48626478,72.43465721,70.96144208,45.79929078,48.07929078,46.97929078,71.3848227,58.11803783,73.52964539,80.98839243,73.05,74.34839243,43.90234043,43.81555556,44.52394799,57.32,60.17678487,61.36839243,9.998392435,10.80678487,10.32678487
630,76.25338061,76.04338061,74.39361702,47.01763593,49.34763593,48.20763593,71.48,58.49952719,74.07905437,80.72094563,72.81070922,74.14047281,49.17959811,49.04983452,49.70983452,57.12070922,59.90070922,61.17023641,9.810472813,10.62047281,10.15023641
635,79.72625592,79.23201422,77.46393365,48.34504739,50.73504739,49.53504739,71.61808057,58.77424171,74.55040284,80.57191943,72.61383886,73.91191943,54.24938389,54.06130332,54.65130332,56.88,59.64191943,60.94191943,9.565758294,10.38383886,9.893838863
640,82.76097156,82.0278436,80.13127962,50.0350237,52.51158768,51.28845972,71.77312796,59.11312796,74.99312796,80.27030806,72.28030806,73.60687204,59.10599526,58.67943128,59.2328673,56.83687204,59.54343602,60.85343602,9.117180095,9.923744076,9.417180095
645,85.34451306,84.29406176,82.3588361,52.09406176,54.70451306,53.44928741,72.01045131,59.47090261,75.48135392,79.76432304,71.83432304,73.13909739,63.50767221,62.7972209,63.2272209,56.81,59.46477435,60.86522565,8.559097387,9.389097387,8.873871734
650,87.46498812,86.26686461,84.11280285,54.58529691,57.31748219,56.06342043,72.14406176,59.78218527,75.84218527,79.22969121,71.34375297,72.65375297,67.32185273,66.27372922,66.54966746,56.78593824,59.43593824,60.87593824,8.053752969,8.907814727,8.387814727
655,89.19992857,87.78071429,85.59378571,57.28757143,60.14064286,58.90371429,72.31307143,60.09307143,76.20307143,78.72464286,70.84771429,72.14464286,70.54371429,69.00142857,69.15142857,56.78,59.38,60.89692857,7.760785714,8.650785714,8.100785714
660,90.51019093,88.87346062,86.57346062,60.07159905,62.97159905,61.80608592,72.37,60.29448687,76.40224344,77.8153222,70.00756563,71.30756563,73.08486874,70.92365155,70.87692124,56.75,59.33224344,60.84224344,7.395513126,8.33326969,7.725513126
665,91.31961722,89.39160287,86.96,62.68526316,65.73526316,64.62526316,72.44160287,60.45320574,76.53160287,76.40595694,68.70076555,69.97916268,75.03083732,72.2012201,71.82961722,56.75,59.26,60.84,7.026794258,7.996794258,7.386794258
